epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.1666666716337204,1.9617379903793335,0.20000000298023224,1.9491153955459595,0.0010000000474974513
1,0.2841145694255829,1.826588749885559,0.30000001192092896,1.7968909740447998,0.0010000000474974513
2,0.3244791626930237,1.7333729267120361,0.375,1.6949330568313599,0.0010000000474974513
3,0.38619792461395264,1.6361804008483887,0.3916666805744171,1.6136231422424316,0.0010000000474974513
4,0.4242187440395355,1.5449923276901245,0.4375,1.5328739881515503,0.0010000000474974513
5,0.44609373807907104,1.4693500995635986,0.46666666865348816,1.4678524732589722,0.0010000000474974513
6,0.47708332538604736,1.410686731338501,0.5,1.4324032068252563,0.0010000000474974513
7,0.4919270873069763,1.3655184507369995,0.44583332538604736,1.4992214441299438,0.0010000000474974513
8,0.4997395873069763,1.3293266296386719,0.4791666567325592,1.496169924736023,0.0010000000474974513
9,0.5335937738418579,1.271585464477539,0.5541666746139526,1.3251471519470215,0.0010000000474974513
10,0.5494791865348816,1.238624930381775,0.48750001192092896,1.4373366832733154,0.0010000000474974513
11,0.5705729126930237,1.1934359073638916,0.5166666507720947,1.4055747985839844,0.0010000000474974513
12,0.5841146111488342,1.169579029083252,0.5333333611488342,1.3914315700531006,0.0010000000474974513
13,0.60546875,1.1403775215148926,0.5625,1.2713741064071655,0.0010000000474974513
14,0.6171875,1.078776240348816,0.5416666865348816,1.266343355178833,0.0010000000474974513
15,0.6260416507720947,1.0586503744125366,0.5833333134651184,1.2337589263916016,0.0010000000474974513
16,0.6552083492279053,0.9949188232421875,0.574999988079071,1.2063524723052979,0.0010000000474974513
17,0.6557291746139526,1.0047715902328491,0.5708333253860474,1.2203956842422485,0.0010000000474974513
18,0.6776041388511658,0.9490326642990112,0.5166666507720947,1.2559762001037598,0.0010000000474974513
19,0.6742187738418579,0.9386183023452759,0.5958333611488342,1.2820900678634644,0.0010000000474974513
20,0.6903645992279053,0.9328179955482483,0.5874999761581421,1.2728657722473145,0.0010000000474974513
21,0.7151041626930237,0.8733320236206055,0.6083333492279053,1.2534939050674438,0.0010000000474974513
22,0.7268229126930237,0.8278063535690308,0.5916666388511658,1.1950817108154297,0.0005000000237487257
23,0.7606770992279053,0.7727721929550171,0.5874999761581421,1.220381498336792,0.0005000000237487257
24,0.7473958134651184,0.7766218185424805,0.6083333492279053,1.2664152383804321,0.0005000000237487257
25,0.7549479007720947,0.749710202217102,0.637499988079071,1.2503784894943237,0.0005000000237487257
26,0.760937511920929,0.7411385178565979,0.6166666746139526,1.2073036432266235,0.0005000000237487257
27,0.7679687738418579,0.7011069655418396,0.574999988079071,1.2620322704315186,0.0005000000237487257
28,0.7796875238418579,0.6970362067222595,0.6166666746139526,1.2035852670669556,0.0002500000118743628
29,0.7786458134651184,0.6751499772071838,0.6166666746139526,1.1868698596954346,0.0002500000118743628
30,0.784375011920929,0.6742205023765564,0.612500011920929,1.1796890497207642,0.0002500000118743628
31,0.7966145873069763,0.661271333694458,0.612500011920929,1.2053277492523193,0.0002500000118743628
32,0.7966145873069763,0.6399039030075073,0.5791666507720947,1.209470272064209,0.0002500000118743628
33,0.796875,0.6260673403739929,0.625,1.1980748176574707,0.0002500000118743628
34,0.7955729365348816,0.634509265422821,0.5874999761581421,1.2426128387451172,0.0002500000118743628
35,0.8010416626930237,0.6275905966758728,0.6208333373069763,1.2519755363464355,0.0002500000118743628
36,0.8023437261581421,0.6088117361068726,0.6208333373069763,1.2011029720306396,0.0001250000059371814
37,0.8169270753860474,0.6038901805877686,0.637499988079071,1.2399338483810425,0.0001250000059371814
38,0.8153645992279053,0.5924595594406128,0.6166666746139526,1.2832309007644653,0.0001250000059371814
39,0.8104166388511658,0.5884342193603516,0.6166666746139526,1.2627698183059692,0.0001250000059371814
40,0.807812511920929,0.6094952821731567,0.625,1.2263970375061035,0.0001250000059371814
