epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.23515625298023224,1.9628124237060547,0.20000000298023224,2.4914162158966064,0.0010000000474974513
1,0.3088541626930237,1.794277548789978,0.11666666716337204,2.4005203247070312,0.0010000000474974513
2,0.35859376192092896,1.6932512521743774,0.13333334028720856,2.5694549083709717,0.0010000000474974513
3,0.3825520873069763,1.6502209901809692,0.34166666865348816,1.7950901985168457,0.0010000000474974513
4,0.4078125059604645,1.600189447402954,0.21666666865348816,2.6009485721588135,0.0010000000474974513
5,0.4286458194255829,1.54668128490448,0.15833333134651184,3.3279855251312256,0.0010000000474974513
6,0.4559895694255829,1.4905532598495483,0.42500001192092896,1.8151965141296387,0.0010000000474974513
7,0.48229166865348816,1.4509978294372559,0.5458333492279053,1.4580835103988647,0.0010000000474974513
8,0.4895833432674408,1.4102360010147095,0.3958333432674408,2.342898368835449,0.0010000000474974513
9,0.5080729126930237,1.3543522357940674,0.32499998807907104,1.8709332942962646,0.0010000000474974513
10,0.5364583134651184,1.3189747333526611,0.42916667461395264,1.977085828781128,0.0010000000474974513
11,0.5335937738418579,1.3109824657440186,0.4166666567325592,1.9371172189712524,0.0010000000474974513
12,0.5473958253860474,1.2932913303375244,0.42916667461395264,1.8027424812316895,0.0010000000474974513
13,0.5895833373069763,1.1973742246627808,0.47083333134651184,1.417420506477356,0.0005000000237487257
14,0.5989583134651184,1.1494673490524292,0.5416666865348816,1.4170489311218262,0.0005000000237487257
15,0.6135416626930237,1.1069117784500122,0.5541666746139526,1.3183928728103638,0.0005000000237487257
16,0.620312511920929,1.108276128768921,0.4958333373069763,1.348254919052124,0.0005000000237487257
17,0.6156250238418579,1.108020544052124,0.42500001192092896,2.0777227878570557,0.0005000000237487257
18,0.62109375,1.0774474143981934,0.5166666507720947,1.4127293825149536,0.0005000000237487257
19,0.6338541507720947,1.0527920722961426,0.4749999940395355,1.5433977842330933,0.0005000000237487257
20,0.6460937261581421,1.0265766382217407,0.4375,1.6778461933135986,0.0005000000237487257
21,0.6572916507720947,0.9953104853630066,0.6000000238418579,1.1181563138961792,0.0002500000118743628
22,0.6822916865348816,0.9624441266059875,0.6000000238418579,1.1620122194290161,0.0002500000118743628
23,0.6773437261581421,0.9584482312202454,0.550000011920929,1.262146234512329,0.0002500000118743628
24,0.6872395873069763,0.9417664408683777,0.6041666865348816,1.1626830101013184,0.0002500000118743628
25,0.6880208253860474,0.9122682213783264,0.6666666865348816,1.1465798616409302,0.0002500000118743628
26,0.6830729246139526,0.9235809445381165,0.5708333253860474,1.1399211883544922,0.0002500000118743628
27,0.7005208134651184,0.8907639384269714,0.5916666388511658,1.2992666959762573,0.0001250000059371814
28,0.7083333134651184,0.8772026896476746,0.6291666626930237,1.107624888420105,0.0001250000059371814
29,0.7052083611488342,0.8816670179367065,0.6041666865348816,1.1223384141921997,0.0001250000059371814
30,0.7122395634651184,0.8720462918281555,0.6499999761581421,1.0659399032592773,0.0001250000059371814
31,0.711718738079071,0.8650522828102112,0.612500011920929,1.1730074882507324,0.0001250000059371814
32,0.7083333134651184,0.8637900948524475,0.675000011920929,1.0680980682373047,0.0001250000059371814
33,0.7247396111488342,0.8462270498275757,0.5833333134651184,1.2060567140579224,0.0001250000059371814
34,0.7065104246139526,0.8580639362335205,0.6083333492279053,1.1786437034606934,0.0001250000059371814
35,0.7132812738418579,0.8442612886428833,0.6833333373069763,1.0466887950897217,0.0001250000059371814
36,0.7299479246139526,0.8239784240722656,0.625,1.1581332683563232,0.0001250000059371814
37,0.715624988079071,0.8309360146522522,0.5791666507720947,1.1134064197540283,0.0001250000059371814
38,0.7346354126930237,0.8234050869941711,0.5958333611488342,1.2373217344284058,0.0001250000059371814
39,0.7197916507720947,0.8257572054862976,0.6083333492279053,1.2274574041366577,0.0001250000059371814
40,0.7427083253860474,0.8082930445671082,0.5874999761581421,1.308640718460083,0.0001250000059371814
41,0.7403646111488342,0.7872095704078674,0.6416666507720947,1.0911461114883423,6.25000029685907e-05
42,0.734375,0.8084874749183655,0.6499999761581421,1.0614739656448364,6.25000029685907e-05
43,0.739062488079071,0.7794730067253113,0.6666666865348816,1.1110775470733643,6.25000029685907e-05
44,0.7424479126930237,0.7936734557151794,0.6791666746139526,1.060571312904358,6.25000029685907e-05
45,0.7320312261581421,0.7924476861953735,0.6541666388511658,1.0501209497451782,6.25000029685907e-05
46,0.7364583611488342,0.7789422869682312,0.6499999761581421,1.0809605121612549,3.125000148429535e-05
47,0.75,0.7807685732841492,0.6416666507720947,1.0906333923339844,3.125000148429535e-05
48,0.7528645992279053,0.7692847847938538,0.6458333134651184,1.0793991088867188,3.125000148429535e-05
49,0.7440103888511658,0.7694084644317627,0.637499988079071,1.1216500997543335,3.125000148429535e-05
50,0.7601562738418579,0.7619777321815491,0.6333333253860474,1.1328434944152832,3.125000148429535e-05
